2013,1,30,99840.0
2013,1,31,99791.05
2013,2,1,99929.25
2013,2,4,99807.46
2013,2,5,99848.84
2013,2,6,99803.3
2013,2,7,99792.69
2013,2,8,99850.92
2013,2,11,99864.56
2013,2,12,99797.13
2013,2,13,99717.91
2013,2,14,99564.82
2013,2,15,99573.81
2013,2,19,99521.23
2013,2,20,99254.29
2013,2,21,99241.39
2013,2,22,99401.03
2013,2,25,99111.35
2013,2,26,99210.51
2013,2,27,99468.72
2013,2,28,99413.8
2013,3,1,99472.26
2013,3,4,99618.93
2013,3,5,99714.5
2013,3,6,99675.96
2013,3,7,99575.23
2013,3,8,99621.66
2013,3,11,99635.13
2013,3,12,99562.63
2013,3,13,99672.68
2013,3,14,99685.06
2013,3,15,99638.0
2013,3,18,99550.54
2013,3,19,99453.02
2013,3,20,99696.01
2013,3,21,99564.41
2013,3,22,99632.71
2013,3,25,99579.28
2013,3,26,99656.92
2013,3,27,99634.81
2013,3,28,99616.17
2013,4,1,99407.59
2013,4,2,99377.32
2013,4,3,99166.94
2013,4,4,99215.45
2013,4,5,99109.93
2013,4,8,99233.94
2013,4,9,99235.71
2013,4,10,99368.07
2013,4,11,99486.48
2013,4,12,99489.77
2013,4,15,99080.79
2013,4,16,99323.57
2013,4,17,99033.93
2013,4,18,98734.23
2013,4,19,99033.38
2013,4,22,99167.19
2013,4,23,99625.54
2013,4,24,99402.92
2013,4,25,99641.97
2013,4,26,99629.3
2013,4,29,99692.9
2013,4,30,99684.49
2013,5,1,99460.62
2013,5,2,99737.86
2013,5,3,99908.22
2013,5,6,99869.0
2013,5,7,99954.31
2013,5,8,99938.19
2013,5,9,99790.46
2013,5,10,99932.35
2013,5,13,100000.58
2013,5,14,100217.8
2013,5,15,100248.23
2013,5,16,100085.31
2013,5,17,100107.34
2013,5,20,99920.68
2013,5,21,99932.76
2013,5,22,99766.37
2013,5,23,99728.28
2013,5,24,99683.24
2013,5,28,99734.41
2013,5,29,99268.99
2013,5,30,99247.64
2013,5,31,98811.82
2013,6,3,98917.76
2013,6,4,98699.76
2013,6,5,98260.34
2013,6,6,98601.9
2013,6,7,98959.08
2013,6,10,98907.61
2013,6,11,98661.96
2013,6,12,98315.42
2013,6,13,98915.42
