2010,12,28,996470.37
2010,12,29,996725.63
2010,12,30,996491.02
2010,12,31,995961.06
2011,1,3,997706.26
2011,1,4,995648.9
2011,1,5,995908.49
2011,1,6,994386.94
2011,1,7,993659.07
2011,1,10,993418.11
2011,1,11,994138.57
2011,1,12,995344.6
2011,1,13,994738.74
2011,1,14,995754.95
2011,1,18,995941.98
2011,1,19,993153.43
2011,1,20,992288.97
2011,1,21,991949.97
2011,1,24,993391.96
2011,1,25,992795.03
2011,1,26,994445.55
2011,1,27,995019.73
2011,1,28,989526.18
2011,1,31,991548.84
2011,2,1,995375.4
2011,2,2,994296.55
2011,2,3,995249.89
2011,2,4,996340.92
2011,2,7,997673.47
2011,2,8,998404.81
2011,2,9,997625.56
2011,2,10,998341.07
2011,2,11,999034.85
2011,2,14,999176.9
2011,2,15,998342.15
2011,2,16,999490.42
2011,2,17,1000004.23
2011,2,18,999995.65
2011,2,22,994069.85
2011,2,23,990573.35
2011,2,24,990634.59
2011,2,25,995194.12
2011,2,28,996330.09
2011,3,1,990386.52
2011,3,2,991203.9
2011,3,3,997194.66
2011,3,4,994535.86
2011,3,7,991345.78
2011,3,8,995258.34
2011,3,9,994341.22
2011,3,10,987162.21
2011,3,11,990695.25
2011,3,14,988215.59
2011,3,15,984217.89
2011,3,16,977239.44
2011,3,17,982030.67
2011,3,18,983894.74
2011,3,21,989961.85
2011,3,22,988063.37
2011,3,23,989082.16
2011,3,24,993003.01
2011,3,25,994583.06
2011,3,28,992822.29
2011,3,29,995404.86
2011,3,30,997741.7
2011,3,31,997118.65
2011,4,1,998683.65
2011,4,4,998303.82
2011,4,5,998258.61
2011,4,6,999015.13
2011,4,7,998203.49
2011,4,8,996463.92
2011,4,11,995013.61
2011,4,12,992136.97
2011,4,13,992481.28
2011,4,14,992119.7
2011,4,15,993793.35
2011,4,18,989398.27
2011,4,19,991137.22
2011,4,20,996164.9
2011,4,21,997495.32
2011,4,25,996672.85
2011,4,26,998752.08
2011,4,27,999363.64
2011,4,28,999607.16
2011,4,29,1000094.3
2011,5,2,999168.85
2011,5,3,997076.79
2011,5,4,994660.7
2011,5,5,992784.4
2011,5,6,993828.62
2011,5,9,995357.21
2011,5,10,997867.91
